major_slug,major_name,degree,total_major_credits,total_degree_credits,source,course_code,course_title,credits,category,req_group,req_group_pick,prereqs,coreqs,offered,notes,track_type
economics-ba,Economics,BA,40,128,bulletin_scraped,FIRST-YEAR-SEMINAR,First-Year Seminar,4,gen_ed,,0,,,fall,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,EXPOS-UA 1,Writing as Inquiry,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,LANG-LEVEL-1,Foreign Language I,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,LANG-LEVEL-2,Foreign Language II,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,LANG-LEVEL-3,Foreign Language III,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,LANG-LEVEL-4,Foreign Language IV (Intermediate),4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,CORE-TEXTS,Texts and Ideas,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,CORE-CULTURES,Cultures and Contexts,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,CORE-EXPRESSIVE,Expressive Culture,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,CORE-PHYSICAL-SCI,Physical Science,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,CORE-LIFE-SCI,Life Science,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,CORE-SOC-SCI,Societies and the Social Sciences,4,gen_ed,,0,,,both,College Core Curriculum requirement,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 1,Introduction to Macroeconomics,4,supporting_required,,0,MATH-UA 121|MATH-UA 131,,both,,major
economics-ba,Economics,BA,40,128,bulletin_scraped,ECON-UA 2,Introduction to Microeconomics,4,supporting_required,,0,MATH-UA 121|MATH-UA 131,,both,,major
economics-ba,Economics,BA,40,128,bulletin_scraped,MATH-UA 131,Mathematics for Economics I,4,supporting_required,,0,,,both,Policy track math req; prereq for ECON-UA 10,major
economics-ba,Economics,BA,40,128,bulletin_scraped,MATH-UA 132,Mathematics for Economics II,4,supporting_required,,0,MATH-UA 131,,both,Policy track math req,major
